Status,Move,Partner,Invoice Date,Due Date,Product Category,Product,Product Quantity,Unit Price,Untaxed Amount in Currency,Tax,Total in Currency
Invoiced,INV/D/2026/00300 (S02749),Al Nahdi Care limited - ???? ?????? ??? ????????,2026-02-18,2026-03-20,KERR Items,[37218] SimpliShade Bulk Fill Flow Unidose 20pk,6.00,170.00,"1,020.00",0.00,"1,020.00"
Invoiced,INV/D/2026/00300 (S02749),Al Nahdi Care limited - ???? ?????? ??? ????????,2026-02-18,2026-03-20,KERR Items,[952-0031] EXTRA-FINE BUCHANAN PLUGGER .04 TAPER,2.00,295.00,590.00,0.00,590.00
Invoiced,INV/D/2026/00300 (S02749),Al Nahdi Care limited - ???? ?????? ??? ????????,2026-02-18,2026-03-20,KERR Items,[33644] NX3 Automix Dual-Cure Syringe White,3.00,250.00,750.00,0.00,750.00
Invoiced,INV/D/2026/00298 (PO# 11162),Dr.Abdulaziz Al Ajaji Dental polyclinic company ???? ???? ?????? ?.????????? ??????? ??? ???????,2026-02-18,2026-04-18,SARATOGA,[SIGN F] Sign F Cabinet with Monitor Lift,2.00,"38,236.00","76,472.00","11,470.80","87,942.80"
Invoiced,INV/D/2026/00304 (S03011),Dr.Abdulaziz Al Ajaji Dental polyclinic company ???? ???? ?????? ?.????????? ??????? ??? ???????,2026-02-18,2026-03-31,Nobel BioCare / Healing Abutment,[36642] Healing Abutment CC NP Ø5x5mm,9.00,1.00,9.00,0.00,9.00
Invoiced,INV/D/2026/00304 (S03011),Dr.Abdulaziz Al Ajaji Dental polyclinic company ???? ???? ?????? ?.????????? ??????? ??? ???????,2026-02-18,2026-03-31,Nobel BioCare / Healing Abutment,[36643] Healing Abutment CC RP Ø3.6x3mm,10.00,1.00,10.00,0.00,10.00
Invoiced,INV/D/2026/00304 (S03011),Dr.Abdulaziz Al Ajaji Dental polyclinic company ???? ???? ?????? ?.????????? ??????? ??? ???????,2026-02-18,2026-03-31,Nobel BioCare / Healing Abutment,[36644] Healing Abutment CC RP Ø3.6x5mm,10.00,1.00,10.00,0.00,10.00
Invoiced,INV/D/2026/00304 (S03011),Dr.Abdulaziz Al Ajaji Dental polyclinic company ???? ???? ?????? ?.????????? ??????? ??? ???????,2026-02-18,2026-03-31,Nobel BioCare / Healing Abutment,[36645] Healing Abutment CC RP Ø5x3mm,9.00,1.00,9.00,0.00,9.00
Invoiced,INV/D/2026/00304 (S03011),Dr.Abdulaziz Al Ajaji Dental polyclinic company ???? ???? ?????? ?.????????? ??????? ??? ???????,2026-02-18,2026-03-31,Nobel BioCare / Healing Abutment,[36647] Healing Abutment CC RP Ø6x3mm,10.00,1.00,10.00,0.00,10.00
Invoiced,INV/D/2026/00304 (S03011),Dr.Abdulaziz Al Ajaji Dental polyclinic company ???? ???? ?????? ?.????????? ??????? ??? ???????,2026-02-18,2026-03-31,Nobel BioCare / Healing Abutment,[36648] Healing Abutment CC RP Ø6x5mm,10.00,1.00,10.00,0.00,10.00
Invoiced,"INV/D/2026/00299 (PR:35055, PO:13061)",Dr.Abdulaziz Al Ajaji Dental polyclinic company ???? ???? ?????? ?.????????? ??????? ??? ???????,2026-02-18,2026-04-18,SARATOGA,[SIGN F] Sign F Cabinet with Monitor Lift,2.00,"34,648.00","69,296.00","10,394.40","79,690.40"
Invoiced,INV/D/2026/00305 (S03022),Alfam Care Trading Co. (Confident ) ???? ????? ????,2026-02-18,2026-04-18,KERR Items,[4200] OptiDisc General Assorted Kit,1.00,360.00,360.00,0.00,360.00
Invoiced,INV/D/2026/00301 (S03025),Smile Logo Trading EST ????? ???? ?????? ???????,2026-02-18,2026-04-18,KERR Items,[33351EU] TempBond Clear without Triclosan Automix Syringe,10.00,155.00,"1,550.00",0.00,"1,550.00"
Invoiced,INV/D/2026/00301 (S03025),Smile Logo Trading EST ????? ???? ?????? ???????,2026-02-18,2026-04-18,KERR Items,[60256] TEMP BOND NE PKG,10.00,99.00,990.00,0.00,990.00
Invoiced,INV/D/2026/00301 (S03025),Smile Logo Trading EST ????? ???? ?????? ???????,2026-02-18,2026-04-18,KERR Items,[33685] TempBond NE Automix Syringe,15.00,146.00,"2,190.00",0.00,"2,190.00"
Invoiced,INV/D/2026/00304 (S03011),Dr.Abdulaziz Al Ajaji Dental polyclinic company ???? ???? ?????? ?.????????? ??????? ??? ???????,2026-02-18,2026-03-31,Nobel BioCare / Healing Abutment,[36640] Healing Abutment CC NP Ø3.6x5mm,12.00,1.00,12.00,0.00,12.00
Invoiced,INV/D/2026/00300 (S02749),Al Nahdi Care limited - ???? ?????? ??? ????????,2026-02-18,2026-03-20,KERR Items,"[952-0006] Medium Buchanan Plugger, .10 Taper",5.00,295.00,"1,475.00",0.00,"1,475.00"
Invoiced,INV/D/2026/00300 (S02749),Al Nahdi Care limited - ???? ?????? ??? ????????,2026-02-18,2026-03-20,Services,Discount,1.00,-0.09,-0.09,0.00,-0.09
Invoiced,INV/D/2026/00296 (S03018),Eyadate International Medical Clinc Complex ( My Clinc )???? ???? ?????? ??????? ??????,2026-02-17,2026-03-19,KERR Items,[33684] TempBond Original Automix Syringe,2.00,200.00,400.00,0.00,400.00
Invoiced,INV/D/2026/00297 (S03007),Loft Dental Complex ???? ???? ???? ??? ???????,2026-02-17,2026-03-19,Astra Dentsply / Healing Abutment,"[68013050] Healing  Uni Abutment(S) EV 4,4",2.00,220.00,440.00,0.00,440.00
Returned,RINV/D/2026/00011 (Reversal of: INV/D/2026/00276),AL-RABWA MEDICAL CENTER COMPANY ???? ???? ?????? ?????,2026-02-17,2026-02-17,Nobel BioCare / Healing Abutment,[36645] Healing Abutment CC RP Ø5x3mm,-1.00,220.00,-220.00,0.00,-220.00
Returned,RINV/D/2026/00011 (Reversal of: INV/D/2026/00276),AL-RABWA MEDICAL CENTER COMPANY ???? ???? ?????? ?????,2026-02-17,2026-02-17,Nobel BioCare / Healing Abutment,[36648] Healing Abutment CC RP Ø6x5mm,-2.00,220.00,-440.00,0.00,-440.00
Returned,RINV/D/2026/00010 (Reversal of: INV/D/2026/00243),AL-RABWA MEDICAL CENTER COMPANY ???? ???? ?????? ?????,2026-02-17,2026-02-17,Nobel BioCare / Healing Abutment,[36644] Healing Abutment CC RP Ø3.6x5mm,-1.00,220.00,-220.00,0.00,-220.00
Invoiced,INV/D/2026/00292 (S03002),Smile Horizon Medical Co. (Ofouk Al Ebtesama ) ???? ??? ????????? ?????,2026-02-17,2026-03-19,KERR Items,[37217] SimpliShade Bulk Fill Flow Syringe,10.00,255.00,"2,550.00",0.00,"2,550.00"
Invoiced,INV/D/2026/00295 (S02915),cash sales,2026-02-17,2026-02-17,KERR Items,[33651] NX3 Light-Cure Syringe Bleach,2.00,139.00,278.00,0.00,278.00
Invoiced,INV/D/2026/00294 (S03012),NUPCO NATIONAL UNIFIED PROCUREMENT COMPANY FOR PHARMACEUTICALS AND MEDICAL SUPPLIES,2026-02-17,2026-02-17,KERR Items,[00340] TUBLI SEAL PKG,1.00,0.00,0.00,0.00,0.00
Invoiced,INV/D/2026/00295 (S02915),cash sales,2026-02-17,2026-02-17,KERR Items,[33652] NX3 Light-Cure Syringe Opaque,2.00,139.00,278.00,0.00,278.00
Invoiced,INV/D/2026/00295 (S02915),cash sales,2026-02-17,2026-02-17,KERR Items,[34060] Maxcem Elite Refill White Opaque,2.00,350.00,700.00,0.00,700.00
Invoiced,INV/D/2026/00296 (S03018),Eyadate International Medical Clinc Complex ( My Clinc )???? ???? ?????? ??????? ??????,2026-02-17,2026-03-19,KERR Items,[33351EU] TempBond Clear without Triclosan Automix Syringe,2.00,200.00,400.00,0.00,400.00
Invoiced,INV/D/2026/00292 (S03002),Smile Horizon Medical Co. (Ofouk Al Ebtesama ) ???? ??? ????????? ?????,2026-02-17,2026-03-19,KERR Items,[37211] SimpliShade Bulk Fill Syringe,10.00,0.00,0.00,0.00,0.00
Invoiced,INV/D/2026/00293 (S03005 - Khamis Mushayt branch),"Magrabi Eye, Dental & Ear Hospital  ?????? ?????",2026-02-17,2026-03-19,KERR Items,[34058] Maxcem Elite Refill Clear,4.00,350.00,"1,400.00",0.00,"1,400.00"
Invoiced,INV/D/2026/00289 (M.Elgayed),Dentex Medical Company,2026-02-16,2026-02-16,Astra Dentsply / Tool,[68015334] PrimeTaper Drill 4 Ø3.55 long,1.00,0.00,0.00,0.00,0.00
Invoiced,INV/D/2026/00289 (M.Elgayed),Dentex Medical Company,2026-02-16,2026-02-16,Astra Dentsply / Tool,[68015333] PrimeTaper Drill 3 Ø2.95 long,1.00,0.00,0.00,0.00,0.00
Invoiced,INV/D/2026/00289 (M.Elgayed),Dentex Medical Company,2026-02-16,2026-02-16,Astra Dentsply / Tool,[68015332] PrimeTaper Drill 2 Ø2.35 long,1.00,0.00,0.00,0.00,0.00
Invoiced,INV/D/2026/00289 (M.Elgayed),Dentex Medical Company,2026-02-16,2026-02-16,Astra Dentsply / Tool,[68015331] Drill 1 Ø1.9 long,1.00,0.00,0.00,0.00,0.00
Invoiced,INV/D/2026/00289 (M.Elgayed),Dentex Medical Company,2026-02-16,2026-02-16,Astra Dentsply / Tool,[68015330] PrimeTaper Drill 7 Ø5.35 short,1.00,0.00,0.00,0.00,0.00
Invoiced,INV/D/2026/00289 (M.Elgayed),Dentex Medical Company,2026-02-16,2026-02-16,Astra Dentsply / Tool,[68015329] PrimeTaper Drill 6 Ø4.75 short,1.00,0.00,0.00,0.00,0.00
Invoiced,INV/D/2026/00289 (M.Elgayed),Dentex Medical Company,2026-02-16,2026-02-16,Astra Dentsply / Tool,[68015328] PrimeTaper Drill 5 Ø4.15 short,1.00,0.00,0.00,0.00,0.00
Invoiced,INV/D/2026/00289 (M.Elgayed),Dentex Medical Company,2026-02-16,2026-02-16,Astra Dentsply / Tool,[68015327] PrimeTaper Drill 4 Ø3.55 short,1.00,0.00,0.00,0.00,0.00
Invoiced,INV/D/2026/00289 (M.Elgayed),Dentex Medical Company,2026-02-16,2026-02-16,Astra Dentsply / Tool,[68015326] PrimeTaper Drill 3 Ø2.95 short,1.00,0.00,0.00,0.00,0.00
Invoiced,INV/D/2026/00289 (M.Elgayed),Dentex Medical Company,2026-02-16,2026-02-16,Astra Dentsply / Tool,[68015325] PrimeTaper Drill 2 Ø2.35 short,1.00,0.00,0.00,0.00,0.00
Invoiced,INV/D/2026/00289 (M.Elgayed),Dentex Medical Company,2026-02-16,2026-02-16,Astra Dentsply / Tool,[68015324] Drill 1 Ø1.9 short,1.00,0.00,0.00,0.00,0.00
Invoiced,INV/D/2026/00289 (M.Elgayed),Dentex Medical Company,2026-02-16,2026-02-16,Astra Dentsply / Kit,[68015321] PrimeTaper Surgical Tray,1.00,0.00,0.00,0.00,0.00
Invoiced,INV/D/2026/00291 (S02958),Smiles Health Medical Complex ???? ???????? ????? ?????,2026-02-16,2026-02-28,Astra Dentsply / Tool,[68015345] PrimeTaper Drill 5½ Ø4.45 long,2.00,0.00,0.00,0.00,0.00
Invoiced,INV/D/2026/00291 (S02958),Smiles Health Medical Complex ???? ???????? ????? ?????,2026-02-16,2026-02-28,Astra Dentsply / Tool,[68015346] PrimeTaper Drill 6½ Ø5.05 long,2.00,0.00,0.00,0.00,0.00
Invoiced,INV/D/2026/00287 (S02457),Mena Health Medical Company ???? ???? ????? ??????,2026-02-16,2026-02-28,KERR Items,"[37111] OptiShade Universal Composite Syringe, Light",6.00,159.00,954.00,0.00,954.00
Invoiced,INV/D/2026/00281 (S02985),Samaya Medical Clinics Complex Co. - ???? ???? ?????? ?????,2026-02-16,2026-03-18,KERR Items,[36519] OptiBond Universal Bottle Refill,1.00,300.00,300.00,0.00,300.00
Invoiced,INV/D/2026/00281 (S02985),Samaya Medical Clinics Complex Co. - ???? ???? ?????? ?????,2026-02-16,2026-03-18,KERR Items,[33648] NX3 Light-Cure Syringe Clear,5.00,160.00,800.00,0.00,800.00
Invoiced,INV/D/2026/00281 (S02985),Samaya Medical Clinics Complex Co. - ???? ???? ?????? ?????,2026-02-16,2026-03-18,KERR Items,[34058] Maxcem Elite Refill Clear,5.00,350.00,"1,750.00",0.00,"1,750.00"
Invoiced,INV/D/2026/00280 (S02793),Samaya Medical Clinics Complex Co. - ???? ???? ?????? ?????,2026-02-16,2026-03-18,KERR Items,[34058] Maxcem Elite Refill Clear,3.00,350.00,"1,050.00",0.00,"1,050.00"
Invoiced,INV/D/2026/00291 (S02958),Smiles Health Medical Complex ???? ???????? ????? ?????,2026-02-16,2026-02-28,Astra Dentsply / Tool,[68015352] PrimeTaper Direction Indicator,2.00,0.00,0.00,0.00,0.00
Invoiced,INV/D/2026/00291 (S02958),Smiles Health Medical Complex ???? ???????? ????? ?????,2026-02-16,2026-02-28,Astra Dentsply / Tool,[68015187] Implant Driver EV long,2.00,0.00,0.00,0.00,0.00
Invoiced,INV/D/2026/00291 (S02958),Smiles Health Medical Complex ???? ???????? ????? ?????,2026-02-16,2026-02-28,Astra Dentsply / Fixture,[68011088] PrimeTaper EV Ø (XS) x 13mm OsseoSpeed,5.00,650.00,"3,250.00",0.00,"3,250.00"
Invoiced,INV/D/2026/00291 (S02958),Smiles Health Medical Complex ???? ???????? ????? ?????,2026-02-16,2026-02-28,Astra Dentsply / Fixture,[68011106] PrimeTaper EV Ø (L) x 11mm OsseoSpeed,3.00,650.00,"1,950.00",0.00,"1,950.00"
Invoiced,INV/D/2026/00291 (S02958),Smiles Health Medical Complex ???? ???????? ????? ?????,2026-02-16,2026-02-28,Astra Dentsply / Fixture,[68011099] PrimeTaper EV Ø (M) x 11mm OsseoSpeed,10.00,650.00,"6,500.00",0.00,"6,500.00"
Invoiced,INV/D/2026/00291 (S02958),Smiles Health Medical Complex ???? ???????? ????? ?????,2026-02-16,2026-02-28,Astra Dentsply / Fixture,[68011092] PrimeTaper EV Ø (S) x 11mm OsseoSpeed,10.00,650.00,"6,500.00",0.00,"6,500.00"
Invoiced,INV/D/2026/00291 (S02958),Smiles Health Medical Complex ???? ???????? ????? ?????,2026-02-16,2026-02-28,Astra Dentsply / Fixture,[68011105] PrimeTaper EV Ø (L) x 9mm OsseoSpeed,5.00,650.00,"3,250.00",0.00,"3,250.00"
Invoiced,INV/D/2026/00291 (S02958),Smiles Health Medical Complex ???? ???????? ????? ?????,2026-02-16,2026-02-28,Astra Dentsply / Fixture,[68011098] PrimeTaper EV Ø (M) x 9mm OsseoSpeed,10.00,650.00,"6,500.00",0.00,"6,500.00"
Invoiced,INV/D/2026/00291 (S02958),Smiles Health Medical Complex ???? ???????? ????? ?????,2026-02-16,2026-02-28,Astra Dentsply / Fixture,[68011091] PrimeTaper EV Ø (S) x 9mm OsseoSpeed,10.00,650.00,"6,500.00",0.00,"6,500.00"
Invoiced,INV/D/2026/00291 (S02958),Smiles Health Medical Complex ???? ???????? ????? ?????,2026-02-16,2026-02-28,Astra Dentsply / Fixture,[68011086] PrimeTaper EV Ø (XS) x 9mm OsseoSpeed,6.00,650.00,"3,900.00",0.00,"3,900.00"
Invoiced,INV/D/2026/00291 (S02958),Smiles Health Medical Complex ???? ???????? ????? ?????,2026-02-16,2026-02-28,Astra Dentsply / Fixture,[68011085] PrimeTaper EV Ø (XS) x 8mm OsseoSpeed,3.00,650.00,"1,950.00",0.00,"1,950.00"
Invoiced,INV/D/2026/00291 (S02958),Smiles Health Medical Complex ???? ???????? ????? ?????,2026-02-16,2026-02-28,Astra Dentsply / Tool,[68015350] PrimeTaper Tap Ø4.8,2.00,0.00,0.00,0.00,0.00
Invoiced,INV/D/2026/00291 (S02958),Smiles Health Medical Complex ???? ???????? ????? ?????,2026-02-16,2026-02-28,Astra Dentsply / Fixture,[68011103] PrimeTaper EV Ø (L) x 6.5mm OsseoSpeed,3.00,650.00,"1,950.00",0.00,"1,950.00"
Invoiced,INV/D/2026/00291 (S02958),Smiles Health Medical Complex ???? ???????? ????? ?????,2026-02-16,2026-02-28,Astra Dentsply / Tool,[68015206] Hex Driver 35mm,2.00,0.00,0.00,0.00,0.00
Invoiced,INV/D/2026/00291 (S02958),Smiles Health Medical Complex ???? ???????? ????? ?????,2026-02-16,2026-02-28,Astra Dentsply / Kit,[68015351] PrimeTaper Tap Ø5.4,2.00,0.00,0.00,0.00,0.00
Invoiced,INV/D/2026/00291 (S02958),Smiles Health Medical Complex ???? ???????? ????? ?????,2026-02-16,2026-02-28,Astra Dentsply / Tool,[68015342] PrimeTaper Drill 2½ Ø2.65 long,2.00,0.00,0.00,0.00,0.00
Invoiced,INV/D/2026/00291 (S02958),Smiles Health Medical Complex ???? ???????? ????? ?????,2026-02-16,2026-02-28,Astra Dentsply / Tool,[68015341] PrimeTaper Drill 6½ Ø5.05 short,2.00,0.00,0.00,0.00,0.00
Invoiced,INV/D/2026/00291 (S02958),Smiles Health Medical Complex ???? ???????? ????? ?????,2026-02-16,2026-02-28,Astra Dentsply / Tool,[68015340] PrimeTaper Drill 5½ Ø4.45 short,2.00,0.00,0.00,0.00,0.00
Invoiced,INV/D/2026/00291 (S02958),Smiles Health Medical Complex ???? ???????? ????? ?????,2026-02-16,2026-02-28,Astra Dentsply / Tool,[68015339] PrimeTaper Drill 4½ Ø3.85 short,2.00,0.00,0.00,0.00,0.00
